service_id,date,exception_type
D_REG,20241115,1
D_REG,20240213,1
D_REG,20240212,1
D_REG,20241012,1
D_REG,20241225,1
D_REG,20240423,1
D_REG,20240907,1
D_REG,20241120,1
D_REG,20241102,1
D_REG,20240501,1
U_REG,20241225,2
U_REG,20240423,2
U_REG,20241120,2
U_REG,20241115,2
U_REG,20240213,2
U_REG,20240212,2
U_REG,20241012,2
U_REG,20240907,2
U_REG,20241102,2
U_REG,20240501,2
U_OBRA_007,20240101,1
U_DESAT_OBRA_007,20240101,2
U_OBRA_007,20240102,1
U_DESAT_OBRA_007,20240102,2
U_OBRA_007,20240103,1
U_DESAT_OBRA_007,20240103,2
U_OBRA_007,20240104,1
U_DESAT_OBRA_007,20240104,2
U_OBRA_007,20240105,1
U_DESAT_OBRA_007,20240105,2
S_OBRA_007,20240106,1
S_DESAT_OBRA_007,20240106,2
D_OBRA_007,20240107,1
D_DESAT_OBRA_007,20240107,2
U_OBRA_007,20240108,1
U_DESAT_OBRA_007,20240108,2
U_OBRA_007,20240109,1
U_DESAT_OBRA_007,20240109,2
U_OBRA_007,20240110,1
U_DESAT_OBRA_007,20240110,2
U_OBRA_007,20240111,1
U_DESAT_OBRA_007,20240111,2
U_OBRA_007,20240112,1
U_DESAT_OBRA_007,20240112,2
S_OBRA_007,20240113,1
S_DESAT_OBRA_007,20240113,2
D_OBRA_007,20240114,1
D_DESAT_OBRA_007,20240114,2
U_OBRA_007,20240115,1
U_DESAT_OBRA_007,20240115,2
U_OBRA_007,20240116,1
U_DESAT_OBRA_007,20240116,2
U_OBRA_007,20240117,1
U_DESAT_OBRA_007,20240117,2
U_OBRA_007,20240118,1
U_DESAT_OBRA_007,20240118,2
U_OBRA_007,20240119,1
U_DESAT_OBRA_007,20240119,2
S_OBRA_007,20240120,1
S_DESAT_OBRA_007,20240120,2
D_OBRA_007,20240121,1
D_DESAT_OBRA_007,20240121,2
U_OBRA_007,20240122,1
U_DESAT_OBRA_007,20240122,2
U_OBRA_007,20240123,1
U_DESAT_OBRA_007,20240123,2
U_OBRA_007,20240124,1
