Ordem do ponto,Modelo,Servico,RMSE,MAE,MAPE,MAD,num_obs
Total,Médias históricas,F:/Dados/SMTR/linhas/007.csv,2.6938549439458406,1.8882578480534258,0.39037369899109353,1.2624423963133635,383820
1,Médias históricas,F:/Dados/SMTR/linhas/007.csv,1.070646677446103,0.6547844112869634,1.4263165345547224,0.40864527629233505,383820
2,Médias históricas,F:/Dados/SMTR/linhas/007.csv,1.4821248789485526,1.038432758388508,0.6174429799448065,0.721895424836601,383820
3,Médias históricas,F:/Dados/SMTR/linhas/007.csv,1.824975206407074,1.300234489966803,0.49154352653002004,0.9090277777777778,383820
4,Médias históricas,F:/Dados/SMTR/linhas/007.csv,2.1620700255741863,1.5446217612819115,0.4406829356081034,1.0825708061002175,383820
5,Médias históricas,F:/Dados/SMTR/linhas/007.csv,2.3843683592215648,1.710926364062776,0.40582719101140247,1.1784722222222221,383820
6,Médias históricas,F:/Dados/SMTR/linhas/007.csv,2.523474872765319,1.8232200007674442,0.35771460089077184,1.2497619047619044,383820
7,Médias históricas,F:/Dados/SMTR/linhas/007.csv,2.547411825312496,1.835448560834578,0.3131628697637286,1.2527777777777778,383820
8,Médias históricas,F:/Dados/SMTR/linhas/007.csv,2.6212814538230704,1.8904958140179102,0.278484607769363,1.3200378787878781,383820
9,Médias históricas,F:/Dados/SMTR/linhas/007.csv,2.706743336008909,1.960218840537241,0.24664176951185482,1.3940277777777776,383820
10,Médias históricas,F:/Dados/SMTR/linhas/007.csv,2.756388143329296,2.0411572247638587,0.22585682643031044,1.5096031746031753,383820
11,Médias históricas,F:/Dados/SMTR/linhas/007.csv,2.8238007841740975,2.1125831108651654,0.20569071515155085,1.590051834130782,383820
12,Médias históricas,F:/Dados/SMTR/linhas/007.csv,2.966903566015632,2.232852888675926,0.195923287215984,1.6821225071225054,383820
13,Médias históricas,F:/Dados/SMTR/linhas/007.csv,2.9851841304211946,2.2442793641689307,0.18460353469544943,1.6996296296296265,383820
14,Médias históricas,F:/Dados/SMTR/linhas/007.csv,3.122900084590007,2.343972781138125,0.1786606991562597,1.747916666666666,383820
15,Médias históricas,F:/Dados/SMTR/linhas/007.csv,3.380726059272469,2.497285876902289,0.18060163449634078,1.8123106060606062,383820
16,Médias históricas,F:/Dados/SMTR/linhas/007.csv,3.570258114561295,2.6430146732204993,0.17952182261031863,1.9278769841269847,383820
17,Médias históricas,F:/Dados/SMTR/linhas/007.csv,3.787457971175246,2.7972703088589888,0.17668537947280777,2.027777777777777,383820
18,Médias históricas,F:/Dados/SMTR/linhas/007.csv,3.7452489574774916,2.8064373181401736,0.1693631083626794,2.120833333333332,383820
19,Médias históricas,F:/Dados/SMTR/linhas/007.csv,3.695295449793282,2.8307787800657063,0.15506185998180272,2.2055555555555557,383820
20,Médias históricas,F:/Dados/SMTR/linhas/007.csv,3.876306943996536,2.974845917863443,0.1519657212563713,2.3439484126984134,383820
Total,Médias históricas,F:/Dados/SMTR/linhas/010.csv,2.8174733381627983,1.9963671161809289,0.44730361077183484,1.3960648148148151,16470
1,Médias históricas,F:/Dados/SMTR/linhas/010.csv,1.3779928395600727,0.9745418145498711,0.9545058423592342,0.7222222222222221,16470
2,Médias históricas,F:/Dados/SMTR/linhas/010.csv,1.8268146475623928,1.3605961834556652,0.5773216759133176,1.0500000000000003,16470
3,Médias históricas,F:/Dados/SMTR/linhas/010.csv,2.089080614118663,1.5608459811157405,0.4122186255074645,1.186666666666667,16470
4,Médias históricas,F:/Dados/SMTR/linhas/010.csv,2.6572955282376616,2.0186395167230344,0.38228612884739205,1.5786324786324784,16470
5,Médias históricas,F:/Dados/SMTR/linhas/010.csv,2.70763275865309,2.0596316201777367,0.3065847850095023,1.664583333333334,16470
6,Médias históricas,F:/Dados/SMTR/linhas/010.csv,3.0454276877349917,2.2835880906454835,0.2738956451663126,1.7541666666666664,16470
7,Médias históricas,F:/Dados/SMTR/linhas/010.csv,3.400383330905362,2.6150486196633826,0.2843399377233571,2.0625,16470
8,Médias históricas,F:/Dados/SMTR/linhas/010.csv,3.488676301586309,2.6770193058956013,0.24371681094079237,2.1305555555555555,16470
