Ordem do ponto,Modelo,Servico,RMSE,MAE,MAPE,MAD,num_obs
Total,Random Forest,F:/Dados/SMTR/linhas/007.csv,1.5888081583227147,1.0456087630942135,0.1660325346349889,0.6317652777777758,383820
1,Random Forest,F:/Dados/SMTR/linhas/007.csv,0.5276580375189721,0.2889791926018322,0.48629453827219155,0.14881805555555555,383820
2,Random Forest,F:/Dados/SMTR/linhas/007.csv,0.732115539084539,0.4590616972755346,0.2329613666122495,0.2699402777777782,383820
3,Random Forest,F:/Dados/SMTR/linhas/007.csv,0.8970939269137063,0.5862878147857785,0.19154599315960544,0.3637601851851856,383820
4,Random Forest,F:/Dados/SMTR/linhas/007.csv,1.0698924815459596,0.7027060262255699,0.1714254098202483,0.43606851851852035,383820
5,Random Forest,F:/Dados/SMTR/linhas/007.csv,1.164391900797498,0.7823458405092795,0.1585015800720865,0.5088736111111125,383820
6,Random Forest,F:/Dados/SMTR/linhas/007.csv,1.2817580354846174,0.8747119486967345,0.1482691582838183,0.5793851851851866,383820
7,Random Forest,F:/Dados/SMTR/linhas/007.csv,1.3627261631261018,0.9411539701718349,0.14015649748897438,0.6340064814814808,383820
8,Random Forest,F:/Dados/SMTR/linhas/007.csv,1.4551565453788422,1.0176973675640208,0.1342658909798442,0.6927074074074056,383820
9,Random Forest,F:/Dados/SMTR/linhas/007.csv,1.523669940570252,1.0752255777238475,0.12748551704072336,0.7506898148148098,383820
10,Random Forest,F:/Dados/SMTR/linhas/007.csv,1.6011635119981718,1.1504366829840533,0.12441012308681254,0.8228972222222257,383820
11,Random Forest,F:/Dados/SMTR/linhas/007.csv,1.6859825545201244,1.2186126909763764,0.11985305627577661,0.8765638888888967,383820
12,Random Forest,F:/Dados/SMTR/linhas/007.csv,1.804039949673299,1.3027845177582573,0.11570838884980232,0.9430082010581917,383820
13,Random Forest,F:/Dados/SMTR/linhas/007.csv,1.9017866005374489,1.3694911251787631,0.11373642648724416,0.9871777777777968,383820
14,Random Forest,F:/Dados/SMTR/linhas/007.csv,1.999004157779217,1.4459810885461315,0.1114063382557318,1.0380199074074028,383820
15,Random Forest,F:/Dados/SMTR/linhas/007.csv,2.0744364480495183,1.509092518649845,0.10893489725704933,1.1034337962962848,383820
16,Random Forest,F:/Dados/SMTR/linhas/007.csv,2.1165548743684317,1.5487688283636176,0.10467925386157804,1.134893981481472,383820
17,Random Forest,F:/Dados/SMTR/linhas/007.csv,2.259939748334023,1.6473736259833063,0.10341633202922346,1.2021972222222281,383820
18,Random Forest,F:/Dados/SMTR/linhas/007.csv,2.335229727271527,1.7136716085544756,0.10178017129515507,1.2504685185185362,383820
19,Random Forest,F:/Dados/SMTR/linhas/007.csv,2.474072555941298,1.8191804437721046,0.10132967113098822,1.3321268518518536,383820
20,Random Forest,F:/Dados/SMTR/linhas/007.csv,2.5934578698596438,1.9118807096725616,0.10015302850238808,1.3949148148148147,383820
Total,Random Forest,F:/Dados/SMTR/linhas/010.csv,2.0102350861541725,1.3934146383264165,0.25558097979230926,0.874702314814815,16470
1,Random Forest,F:/Dados/SMTR/linhas/010.csv,0.8011560687432259,0.5128583948876354,0.4238890275440836,0.30231574074073964,16470
2,Random Forest,F:/Dados/SMTR/linhas/010.csv,1.0574113684322168,0.7819756012003646,0.3263427839145975,0.561137499999999,16470
3,Random Forest,F:/Dados/SMTR/linhas/010.csv,1.3150374972875263,0.9935091475663567,0.25557095781376515,0.7385324074074044,16470
4,Random Forest,F:/Dados/SMTR/linhas/010.csv,1.5722807968546666,1.2125800753921163,0.22745727169931745,0.9029337962962938,16470
5,Random Forest,F:/Dados/SMTR/linhas/010.csv,1.8548663113511674,1.4426140953983784,0.21875086159598378,1.1638361111110997,16470
6,Random Forest,F:/Dados/SMTR/linhas/010.csv,2.0209477095553976,1.5730357235949322,0.19132514828515498,1.2637023148148168,16470
7,Random Forest,F:/Dados/SMTR/linhas/010.csv,2.439951958590403,1.8876831188636871,0.20792215390146623,1.4778935185185151,16470
8,Random Forest,F:/Dados/SMTR/linhas/010.csv,2.5204736541521435,1.9674509616150906,0.1797529485402686,1.5775925925925929,16470
9,Random Forest,F:/Dados/SMTR/linhas/010.csv,2.7195057417701203,2.092570598706285,0.17013804951226041,1.5955263888888833,16470
10,Random Forest,F:/Dados/SMTR/linhas/010.csv,2.976243879215172,2.332052189207502,0.16625929248556395,1.8339773148148089,16470
11,Random Forest,F:/Dados/SMTR/linhas/010.csv,3.458065409828123,2.7221418799102133,0.18092565275042932,2.1497277777777963,16470
12,Random Forest,F:/Dados/SMTR/linhas/010.csv,3.5663169131257395,2.7464592027667547,0.15269718937625232,2.067450000000014,16470
13,Random Forest,F:/Dados/SMTR/linhas/010.csv,4.115813630501294,3.2588136095317077,0.15844386215889192,2.7855509259259534,16470
14,Random Forest,F:/Dados/SMTR/linhas/010.csv,4.92314302057475,4.058249961948246,0.18710443827097406,3.621157407407374,16470
Total,Random Forest,F:/Dados/SMTR/linhas/014.csv,1.5838063636642232,1.0551936614693789,0.19623807140388672,0.6602754629629586,66158
1,Random Forest,F:/Dados/SMTR/linhas/014.csv,0.617766892558703,0.3384321118846074,0.4556802473797297,0.16217731481481454,66158
2,Random Forest,F:/Dados/SMTR/linhas/014.csv,0.9491551453507481,0.5548779866832159,0.2719455865392685,0.3012620370370349,66158
3,Random Forest,F:/Dados/SMTR/linhas/014.csv,1.009869203387105,0.6700782260900003,0.23472465090733002,0.4018629629629642,66158
4,Random Forest,F:/Dados/SMTR/linhas/014.csv,1.1619484917507008,0.7930021325641968,0.1990411730894907,0.4886819444444461,66158
5,Random Forest,F:/Dados/SMTR/linhas/014.csv,1.3729694797553351,0.947044857691413,0.19202125249430038,0.6215976851851868,66158
6,Random Forest,F:/Dados/SMTR/linhas/014.csv,1.412415171861432,0.9727167595000462,0.17102080717467347,0.6527277777777774,66158
7,Random Forest,F:/Dados/SMTR/linhas/014.csv,1.4269297716083544,0.997562668547308,0.16399234616830993,0.6768083333333221,66158
8,Random Forest,F:/Dados/SMTR/linhas/014.csv,1.5533132591063707,1.097957143155375,0.15940558316067147,0.7622037037037024,66158
9,Random Forest,F:/Dados/SMTR/linhas/014.csv,1.643683435656375,1.1947709017473813,0.15212037903462175,0.8818111111111078,66158
10,Random Forest,F:/Dados/SMTR/linhas/014.csv,1.673498589366989,1.2142836199906057,0.1409453141636783,0.8802555555555562,66158
11,Random Forest,F:/Dados/SMTR/linhas/014.csv,1.7993037970755041,1.3225543899764538,0.13745900913555228,0.9942009259259139,66158
12,Random Forest,F:/Dados/SMTR/linhas/014.csv,1.798177107347206,1.336235385442871,0.13214655468294884,0.9972518518518516,66158
13,Random Forest,F:/Dados/SMTR/linhas/014.csv,2.037612609544956,1.5257568207811991,0.13426412863397488,1.1675240740740715,66158
14,Random Forest,F:/Dados/SMTR/linhas/014.csv,2.0789088193690892,1.5344156531427708,0.12227658408885243,1.1359611111111212,66158
15,Random Forest,F:/Dados/SMTR/linhas/014.csv,2.078579129581185,1.5418583261938221,0.11307612288292723,1.1475805555555576,66158
16,Random Forest,F:/Dados/SMTR/linhas/014.csv,2.170111363213487,1.638878026774457,0.11311039468152312,1.2803935185185242,66158
17,Random Forest,F:/Dados/SMTR/linhas/014.csv,2.3813371134847503,1.7781940707004906,0.11188437140837464,1.3883814814814652,66158
18,Random Forest,F:/Dados/SMTR/linhas/014.csv,2.6869818366676563,2.0006221613090225,0.10905242976538955,1.5607907407407815,66158
19,Random Forest,F:/Dados/SMTR/linhas/014.csv,2.648242653608295,2.019784646350699,0.104506550164793,1.544256018518519,66158
20,Random Forest,F:/Dados/SMTR/linhas/014.csv,2.9025342357071975,2.176441371169679,0.10596277180688632,1.6184912037037051,66158
Total,Random Forest,F:/Dados/SMTR/linhas/100.csv,0.5926845455911548,0.3852007233656176,0.33629023527536184,0.20215324074074043,590
1,Random Forest,F:/Dados/SMTR/linhas/100.csv,0.39269867922565393,0.26909856291940903,0.3046575633276627,0.16316574074074153,590
2,Random Forest,F:/Dados/SMTR/linhas/100.csv,0.6422611443618399,0.4252025356125358,0.34741609308285554,0.24747314814814736,590
3,Random Forest,F:/Dados/SMTR/linhas/100.csv,1.0099930610448389,0.7576714856902361,0.48479741406117716,0.49550277777777746,590
4,Random Forest,F:/Dados/SMTR/linhas/100.csv,0.9943846359866952,0.8257481481481495,0.38849141833671536,0.41478333333332973,590
5,Random Forest,F:/Dados/SMTR/linhas/100.csv,1.0871409611026854,0.941601851851853,0.43926587405659046,0.5433796296296283,590
6,Random Forest,F:/Dados/SMTR/linhas/100.csv,1.6535794158938315,1.6360458333333345,0.6366628440820656,1.6360458333333345,590
7,Random Forest,F:/Dados/SMTR/linhas/100.csv,2.2119796296296306,2.2119796296296306,0.35297547281323893,0,590
8,Random Forest,F:/Dados/SMTR/linhas/100.csv,1.3470648148148157,1.3470648148148157,0.2971466503267976,0,590
Total,Random Forest,F:/Dados/SMTR/linhas/104.csv,2.5639765786958617,1.7471437822315825,0.1861688639612994,1.077704629629622,118547
1,Random Forest,F:/Dados/SMTR/linhas/104.csv,0.6954172678533289,0.4415737115591329,0.3998565934595437,0.22670555555555483,118547
2,Random Forest,F:/Dados/SMTR/linhas/104.csv,0.9969878428498773,0.684140293076214,0.3170919493372356,0.43368425925926013,118547
3,Random Forest,F:/Dados/SMTR/linhas/104.csv,1.2872554832060221,0.8921377039111233,0.24893154904267703,0.5771768518518501,118547
4,Random Forest,F:/Dados/SMTR/linhas/104.csv,1.4417296289952926,1.0374221999247557,0.21078477978658752,0.7212458333333371,118547
5,Random Forest,F:/Dados/SMTR/linhas/104.csv,1.620646823650866,1.1899683887352104,0.19239135044644073,0.8262449074074043,118547
6,Random Forest,F:/Dados/SMTR/linhas/104.csv,1.7669638595770973,1.3011168603258476,0.17512978238397683,0.9307300925925901,118547
7,Random Forest,F:/Dados/SMTR/linhas/104.csv,1.9793070187686188,1.4861630622735025,0.17408288724775303,1.072195370370368,118547
8,Random Forest,F:/Dados/SMTR/linhas/104.csv,2.1274412341413296,1.588306142666372,0.15990469962915266,1.142950925925927,118547
9,Random Forest,F:/Dados/SMTR/linhas/104.csv,2.32858488120273,1.74489159565538,0.154628993835725,1.2698268518518692,118547
10,Random Forest,F:/Dados/SMTR/linhas/104.csv,2.530407977586119,1.8746734375467253,0.14820154238419858,1.3488333333333369,118547
11,Random Forest,F:/Dados/SMTR/linhas/104.csv,2.621914242776289,1.9519378578944684,0.14016455847515488,1.4309287037036995,118547
12,Random Forest,F:/Dados/SMTR/linhas/104.csv,2.7768030934398897,2.090145535800338,0.13866975437199008,1.5188949074074065,118547
13,Random Forest,F:/Dados/SMTR/linhas/104.csv,2.963876578015525,2.2256251157528895,0.13494387154734097,1.6662319444444371,118547
14,Random Forest,F:/Dados/SMTR/linhas/104.csv,3.116632567966739,2.331419343461039,0.131325870728795,1.7668685185185087,118547
15,Random Forest,F:/Dados/SMTR/linhas/104.csv,3.286485479441273,2.471174307735962,0.13126678999572522,1.8458532407407358,118547
16,Random Forest,F:/Dados/SMTR/linhas/104.csv,3.5034723992291465,2.622911354253065,0.12994789799626086,1.9480750000000207,118547
17,Random Forest,F:/Dados/SMTR/linhas/104.csv,3.6824016366821937,2.7878569162292095,0.12994348548921655,2.1205949074074155,118547
18,Random Forest,F:/Dados/SMTR/linhas/104.csv,3.8782903111912757,2.923302743440084,0.1306533844904753,2.2072509259259103,118547
19,Random Forest,F:/Dados/SMTR/linhas/104.csv,3.959626434698718,2.97574424373555,0.12417785782427997,2.2525888888888588,118547
20,Random Forest,F:/Dados/SMTR/linhas/104.csv,4.16637906189956,3.152966009525901,0.12330818554989907,2.443910185185228,118547
Total,Random Forest,F:/Dados/SMTR/linhas/105.csv,2.824626455255799,2.0209383946210524,0.26126904215231994,1.2691722222222053,5493
1,Random Forest,F:/Dados/SMTR/linhas/105.csv,0.8033482932692303,0.5801151061053357,0.5782418993449925,0.30340833333333184,5493
2,Random Forest,F:/Dados/SMTR/linhas/105.csv,1.2678757482970504,0.937969003527337,0.48097000927142797,0.6204657407407415,5493
3,Random Forest,F:/Dados/SMTR/linhas/105.csv,1.4369107645741426,1.0906252238805971,0.3358860571139014,0.7423703703703657,5493
4,Random Forest,F:/Dados/SMTR/linhas/105.csv,1.7453603587299438,1.3126558428279287,0.2942869497848838,0.8651513888888878,5493
5,Random Forest,F:/Dados/SMTR/linhas/105.csv,1.7966393254579647,1.383298683072111,0.26064691948943747,0.9314495370370397,5493
6,Random Forest,F:/Dados/SMTR/linhas/105.csv,2.5179017905448062,1.7883989278292907,0.26139851114228774,1.178493518518521,5493
7,Random Forest,F:/Dados/SMTR/linhas/105.csv,2.2827993674167053,1.7852344702695893,0.24000153470824015,1.174289351851852,5493
8,Random Forest,F:/Dados/SMTR/linhas/105.csv,2.691133084675219,2.0070785514132554,0.22979581681810107,1.4693990740740608,5493
9,Random Forest,F:/Dados/SMTR/linhas/105.csv,2.9307534247617486,2.2122531071937326,0.22191878793717656,1.6064027777777676,5493
10,Random Forest,F:/Dados/SMTR/linhas/105.csv,3.033507274196631,2.2668284476873195,0.2053727842020092,1.5757828703703662,5493
11,Random Forest,F:/Dados/SMTR/linhas/105.csv,3.19713425709786,2.5419687823846027,0.22261918337992945,1.8133050925925867,5493
12,Random Forest,F:/Dados/SMTR/linhas/105.csv,3.088254396976511,2.4319799357945424,0.19746000311083456,1.8365712962962792,5493
13,Random Forest,F:/Dados/SMTR/linhas/105.csv,3.1501390366008026,2.5018717694131594,0.190438236213714,1.9057249999999915,5493
14,Random Forest,F:/Dados/SMTR/linhas/105.csv,3.562964249846547,2.682204038728423,0.17804642582068786,1.7788365740740835,5493
15,Random Forest,F:/Dados/SMTR/linhas/105.csv,3.3707097573193634,2.6109108283657965,0.16809406124562398,1.9669305555555603,5493
16,Random Forest,F:/Dados/SMTR/linhas/105.csv,3.3594646022625265,2.637195297933989,0.16509993979794663,1.7688620370370352,5493
17,Random Forest,F:/Dados/SMTR/linhas/105.csv,3.651323276645985,2.8723012510038735,0.17094476669572542,1.9933027777777728,5493
18,Random Forest,F:/Dados/SMTR/linhas/105.csv,4.0011643647029596,3.1622394982118363,0.1669970529382802,2.3892486111111335,5493
19,Random Forest,F:/Dados/SMTR/linhas/105.csv,4.199735791021003,3.1423781709791965,0.15099424595145472,2.2335712962963115,5493
20,Random Forest,F:/Dados/SMTR/linhas/105.csv,4.25611633562052,3.136339073940462,0.15140458340638543,2.2250708333333264,5493
Total,Random Forest,F:/Dados/SMTR/linhas/107.csv,1.9081691432630177,1.3086160076501077,0.17798224298264426,0.8011138888888869,233861
1,Random Forest,F:/Dados/SMTR/linhas/107.csv,0.5804152540206668,0.3402498802531622,0.30821267045150147,0.16839869528619406,233861
2,Random Forest,F:/Dados/SMTR/linhas/107.csv,0.8191690658968304,0.5547478235215983,0.27999682154125277,0.3467750000000005,233861
3,Random Forest,F:/Dados/SMTR/linhas/107.csv,0.9999331331960392,0.7097640118941148,0.22902216422162866,0.46653055555555434,233861
4,Random Forest,F:/Dados/SMTR/linhas/107.csv,1.200628044862121,0.8552574302538999,0.20697556066452183,0.5616027777777748,233861
