Ordem do ponto,Modelo,Servico,RMSE,MAE,MAPE,MAD,num_obs
Total,Deep Neural Network,F:/Dados/SMTR/linhas/007.csv,2.566312530269811,1.757526551829125,0.3442246547930281,1.1192005226243156,383820
1,Deep Neural Network,F:/Dados/SMTR/linhas/007.csv,1.1006009770826013,0.698815560296466,1.6216672480995071,0.4320973286449239,383820
2,Deep Neural Network,F:/Dados/SMTR/linhas/007.csv,1.277532430142121,0.8324973658941859,0.46822684156209393,0.541510618695829,383820
3,Deep Neural Network,F:/Dados/SMTR/linhas/007.csv,1.4918341720972852,1.0114392564318213,0.3432188985996756,0.6570496143618896,383820
4,Deep Neural Network,F:/Dados/SMTR/linhas/007.csv,1.770085336446146,1.1967300938420697,0.2954380095425797,0.7684902558304452,383820
5,Deep Neural Network,F:/Dados/SMTR/linhas/007.csv,1.8389584658191254,1.2693718756424321,0.26077317247135007,0.8541998203091032,383820
6,Deep Neural Network,F:/Dados/SMTR/linhas/007.csv,1.9860102105905804,1.3954604240836408,0.2393656975795373,0.9502775018616836,383820
7,Deep Neural Network,F:/Dados/SMTR/linhas/007.csv,2.1471270071420725,1.5287928540069455,0.22939760068275683,1.0561046114225219,383820
8,Deep Neural Network,F:/Dados/SMTR/linhas/007.csv,2.328421368656774,1.682039366239081,0.22376101685335592,1.1986975161347422,383820
9,Deep Neural Network,F:/Dados/SMTR/linhas/007.csv,2.4433602577907623,1.7944684168056897,0.21699110392404175,1.3179507555159446,383820
10,Deep Neural Network,F:/Dados/SMTR/linhas/007.csv,2.563367120382075,1.8926305189813486,0.20770631316625437,1.4091468508199085,383820
11,Deep Neural Network,F:/Dados/SMTR/linhas/007.csv,2.7150196182152833,2.0296256192283866,0.20187032435793958,1.5339285882711025,383820
12,Deep Neural Network,F:/Dados/SMTR/linhas/007.csv,2.94511695973061,2.1963028887884937,0.19610384068084277,1.655262680502101,383820
13,Deep Neural Network,F:/Dados/SMTR/linhas/007.csv,3.0903907912558557,2.3041017796179633,0.19062575095008205,1.7343976445196674,383820
14,Deep Neural Network,F:/Dados/SMTR/linhas/007.csv,3.2518580497729053,2.4325527684421573,0.18540302560640337,1.8623682226802578,383820
15,Deep Neural Network,F:/Dados/SMTR/linhas/007.csv,3.3701703181084457,2.5115294956232734,0.17771534526643587,1.8880106655402749,383820
16,Deep Neural Network,F:/Dados/SMTR/linhas/007.csv,3.417966917066157,2.560202923112313,0.1693761062847841,1.9379546230898148,383820
17,Deep Neural Network,F:/Dados/SMTR/linhas/007.csv,3.654550417530348,2.765583471489968,0.16979429833854764,2.1344607045066724,383820
18,Deep Neural Network,F:/Dados/SMTR/linhas/007.csv,3.715049829708458,2.819910075839738,0.16453255961661564,2.199412600704525,383820
19,Deep Neural Network,F:/Dados/SMTR/linhas/007.csv,3.9098145733301415,2.9895971127441805,0.16355677708997649,2.3653071330408153,383820
20,Deep Neural Network,F:/Dados/SMTR/linhas/007.csv,4.175748332762058,3.157955173410626,0.16132405930685897,2.4366793110087297,383820
Total,Deep Neural Network,F:/Dados/SMTR/linhas/010.csv,3.2156654700669955,2.2706160681946663,0.43191639816181276,1.5222825861886475,16470
1,Deep Neural Network,F:/Dados/SMTR/linhas/010.csv,1.238531293748816,0.9367123469032068,1.0469754958091082,0.617795355360129,16470
2,Deep Neural Network,F:/Dados/SMTR/linhas/010.csv,1.5513345951888404,1.1398219235672429,0.4607303299973562,0.8520280700172584,16470
3,Deep Neural Network,F:/Dados/SMTR/linhas/010.csv,1.997375662304071,1.4915004111683512,0.3475023289192507,1.0782868532819463,16470
4,Deep Neural Network,F:/Dados/SMTR/linhas/010.csv,2.461995471030852,1.9072086788484814,0.32135056525928296,1.4273749004046579,16470
5,Deep Neural Network,F:/Dados/SMTR/linhas/010.csv,2.9418951138729534,2.2932200555761897,0.3056651756245676,1.7702807213039078,16470
6,Deep Neural Network,F:/Dados/SMTR/linhas/010.csv,3.3176495539603885,2.635845558301671,0.2888429605018216,2.0113750000769888,16470
7,Deep Neural Network,F:/Dados/SMTR/linhas/010.csv,3.8859309198412917,3.0872603920811996,0.29595680253657547,2.3506022723733775,16470
8,Deep Neural Network,F:/Dados/SMTR/linhas/010.csv,4.214764677135888,3.4104785328488703,0.27880376236964644,2.5233964980418326,16470
9,Deep Neural Network,F:/Dados/SMTR/linhas/010.csv,4.482103999501547,3.5764278006683017,0.2599249229948314,2.687396450078169,16470
10,Deep Neural Network,F:/Dados/SMTR/linhas/010.csv,4.582567599310752,3.690198336604819,0.24152352556261056,2.7217193923153573,16470
11,Deep Neural Network,F:/Dados/SMTR/linhas/010.csv,5.396477422919567,4.368956350404252,0.25441572293589965,3.425762890875376,16470
12,Deep Neural Network,F:/Dados/SMTR/linhas/010.csv,5.936425497978959,4.855786889230876,0.2449906624231404,3.497337815431976,16470
13,Deep Neural Network,F:/Dados/SMTR/linhas/010.csv,7.030698934523585,5.655842059563206,0.2390874469882717,3.768564187478198,16470
14,Deep Neural Network,F:/Dados/SMTR/linhas/010.csv,7.2938374808127335,5.712793035123164,0.22062450818753016,4.367137060487792,16470
Total,Deep Neural Network,F:/Dados/SMTR/linhas/014.csv,2.162788099122386,1.4853105068836943,0.31806648010385336,1.0161716680331865,66158
1,Deep Neural Network,F:/Dados/SMTR/linhas/014.csv,0.9062156756757365,0.6260411464586687,1.076886363529317,0.44900362407113104,66158
2,Deep Neural Network,F:/Dados/SMTR/linhas/014.csv,1.289003616845778,0.8688504024197308,0.473432610491073,0.6124313622940529,66158
3,Deep Neural Network,F:/Dados/SMTR/linhas/014.csv,1.3865342369844502,0.9732519197054125,0.34546433635475965,0.6826509496763737,66158
4,Deep Neural Network,F:/Dados/SMTR/linhas/014.csv,1.5665913508589941,1.1144658434501553,0.2855599403392467,0.8115130539611939,66158
5,Deep Neural Network,F:/Dados/SMTR/linhas/014.csv,1.7889712374993034,1.275955537816182,0.2547141675230493,0.9288175373193897,66158
6,Deep Neural Network,F:/Dados/SMTR/linhas/014.csv,1.8362640513453614,1.317093740485427,0.22437986182648664,0.9729282098621854,66158
7,Deep Neural Network,F:/Dados/SMTR/linhas/014.csv,1.8902321486078124,1.3681787034068507,0.21866689274261666,1.0195073603505023,66158
8,Deep Neural Network,F:/Dados/SMTR/linhas/014.csv,1.9964169384026618,1.443029240589313,0.2153289736435662,1.0834931466364388,66158
9,Deep Neural Network,F:/Dados/SMTR/linhas/014.csv,2.187402725738975,1.607530961674152,0.20655730338370384,1.2208913739954514,66158
10,Deep Neural Network,F:/Dados/SMTR/linhas/014.csv,2.2345118173863123,1.629303253309673,0.18496256800005417,1.2426466972977885,66158
11,Deep Neural Network,F:/Dados/SMTR/linhas/014.csv,2.3651441947950316,1.7340292681363283,0.16990510614942317,1.2692259573637878,66158
12,Deep Neural Network,F:/Dados/SMTR/linhas/014.csv,2.459407385479532,1.8419435547606298,0.17964805423870583,1.4175306839123927,66158
13,Deep Neural Network,F:/Dados/SMTR/linhas/014.csv,2.6878822579933566,2.016971132977218,0.17202660195979946,1.4826563404072832,66158
14,Deep Neural Network,F:/Dados/SMTR/linhas/014.csv,2.8999722232142546,2.183848404129922,0.16704005188774768,1.5899316168503894,66158
15,Deep Neural Network,F:/Dados/SMTR/linhas/014.csv,2.9169473384083178,2.2169027543478,0.15606138453201412,1.608374679651135,66158
16,Deep Neural Network,F:/Dados/SMTR/linhas/014.csv,2.996619234364101,2.308100260905754,0.15139157547566434,1.6232238517725168,66158
17,Deep Neural Network,F:/Dados/SMTR/linhas/014.csv,3.3752852743347987,2.573532470909032,0.1539667178540126,1.8086809926851934,66158
18,Deep Neural Network,F:/Dados/SMTR/linhas/014.csv,3.8623819483072763,2.938530514233622,0.15333741974826212,2.0320010549965932,66158
